CandID,site
439584,UMN
439584,UMN
394185,UMN
394185,UMN
232418,UMN
232418,UMN
742127,UMN
742127,UMN
210587,UMN
210587,UMN
276386,UMN
871876,UMN
180169,UMN
180169,UMN
916411,UMN
916411,UMN
916411,UMN
635063,UMN
635063,UMN
635063,UMN
108165,UMN
609455,UMN
112902,UMN
112902,UMN
112902,UMN
403070,UMN
717601,UMN
315519,UMN
315519,UMN
315519,UMN
315519,UMN
315519,UMN
315519,UMN
307076,UMN
307076,UMN
307076,UMN
992672,UMN
992672,UMN
526810,UMN
526810,UMN
526810,UMN
324159,UMN
537180,UMN
537180,UMN
537180,UMN
537180,UMN
537180,UMN
537180,UMN
767612,UMN
767612,UMN
785631,UMN
292029,UMN
292029,UMN
292029,UMN
292029,UMN
861050,UMN
861050,UMN
104863,UMN
206192,UMN
206192,UMN
603983,UMN
817184,UMN
817184,UMN
817184,UMN
817184,UMN
267910,UMN
503722,UMN
503722,UMN
503722,UMN
503722,UMN
457966,UMN
710562,UMN
710562,UMN
915259,UMN
832453,UMN
832453,UMN
778750,UMN
778750,UMN
774769,UMN
774769,UMN
362374,UMN
700095,UMN
700095,UMN
736284,UMN
736284,UMN
393942,UMN
393942,UMN
393942,UMN
393942,UMN
368252,UMN
368252,UMN
555048,UMN
720201,UMN
720201,UMN
846999,UMN
490683,UMN
125759,UMN
125759,UMN
125759,UMN
125759,UMN
189122,UMN
189122,UMN
913680,UMN
913680,UMN
913680,UMN
913680,UMN
170216,UMN
918271,UMN
122952,UMN
635988,UMN
466947,UMN
576995,UMN
376886,UMN
844357,UMN
510636,UMN
863589,UMN
701255,UMN
801316,UMN
445153,UMN
123264,UMN
937520,UMN
548631,UMN
444218,UMN
988192,UMN
484014,UMN
860613,UMN
506586,UMN
389969,UMN
580061,UMN
467833,UMN
201730,UMN
986700,UNC
354307,UNC
111521,UNC
111521,UNC
111521,UNC
111521,UNC
568202,UNC
218663,UNC
218663,UNC
218663,UNC
218663,UNC
218663,UNC
218663,UNC
218663,UNC
218663,UNC
406663,UNC
406663,UNC
406663,UNC
648807,UNC
648807,UNC
648807,UNC
648807,UNC
493610,UNC
820360,UNC
802550,UNC
456907,UNC
456907,UNC
456907,UNC
456907,UNC
456907,UNC
456907,UNC
537715,UNC
294064,UNC
294064,UNC
294064,UNC
40221,UNC
40221,UNC
347951,UNC
132476,UNC
132476,UNC
132476,UNC
132476,UNC
107008,UNC
107008,UNC
107008,UNC
107008,UNC
107008,UNC
107008,UNC
613137,UNC
157075,UNC
157075,UNC
157075,UNC
157075,UNC
967945,UNC
11370,UNC
17541,UNC
17541,UNC
17541,UNC
17541,UNC
17541,UNC
17541,UNC
338248,UNC
651798,UNC
388560,UNC
388560,UNC
388560,UNC
865900,UNC
865900,UNC
865900,UNC
862498,UNC
758603,UNC
758603,UNC
758603,UNC
758603,UNC
758603,UNC
758603,UNC
758603,UNC
758603,UNC
397725,UNC
418009,UNC
969150,UNC
683402,UNC
683402,UNC
683402,UNC
683402,UNC
683402,UNC
683402,UNC
866106,UNC
494244,UNC
494244,UNC
494244,UNC
494244,UNC
488568,UNC
675674,UNC
675674,UNC
675674,UNC
804018,UNC
633704,UNC
633704,UNC
454963,UNC
385434,UNC
385434,UNC
385434,UNC
385434,UNC
385434,UNC
385434,UNC
385434,UNC
404835,UNC
650295,UNC
859865,UNC
859865,UNC
530066,UNC
530066,UNC
530066,UNC
530066,UNC
530066,UNC
748581,UNC
189896,UNC
189896,UNC
189896,UNC
189896,UNC
189896,UNC
501399,UNC
747701,UNC
488291,UNC
488291,UNC
683764,UNC
683764,UNC
439967,UNC
